"Molecule","Molecule name","Atom count","Bond count"
"N[C@@H](Cc1c[nH]cn1)C(N)=O","ZINC000005955080",21,21
"NC(=O)[C@@H]1Cc2nc[nH]c2CN1","ZINC000034385468",22,23
"NC(=O)[C@@H]1CNCCC1=O","ZINC000100191301",20,20
"NC(=O)[C@@H]1CNCCO1","ZINC000019686020",19,19
"O\N=c1/nc2[nH]onc2[nH]c1=O","ZINC000005753647",15,16
"NC(=O)[C@H]1CNCCO1","ZINC000019686022",19,19
"Cn1cncc1[C@H](N)C1(O)CNC1","ZINC000958528236",27,28
"NC(=O)[C@H]1Cc2nc[nH]c2CN1","ZINC000034385467",22,23
"Cn1cncc1[C@@H](N)C1(O)CNC1","ZINC000958528230",27,28
"NC(=O)c1c(N)[nH]c(N)nc1=O","ZINC000012505461",19,19
"NC(=O)[C@H]1CNCCC1=O","ZINC000100191299",20,20
"COCCN[C@H]1CC(=O)NC1=O","ZINC000036853397",24,24
"NC1(CCO)CS(=O)(=O)C1","ZINC000212221311",21,21
"NC1CS(=O)(=O)C1","ZINC000062712735",14,14
"NCC(=O)N1CCNC(=O)C1","ZINC000019512728",22,22
"NCC(=O)NCC(N)=O","ZINC000001605642",18,17
"CNC(=O)[C@@H]1CCCN1C(=O)CN","ZINC000037826627",28,28
"NCC[NH2+]CCS(O)(O)O","ZINC000038615690",22,21
"[NH3+]CCc1nnn[nH]1","ZINC000019090380",15,15
"[NH3+]CS(O)(O)O","ZINC000008034708",11,10
"CNC(=O)[C@@H](N)CO","ZINC000039259908",18,17
"CNC(=O)[C@H](N)CO","ZINC000039259906",18,17
"CO[C@@H]1CS(=O)(=O)C[C@H]1N","ZINC000095346846",21,21
"[NH3+][C@@H]1CCS(=O)(=O)NC1=O","ZINC000950757348",18,18
"CO[C@@H]1CS(=O)(=O)C[C@@H]1N","ZINC000096032155",21,21
"[NH3+][C@H]1CCS(=O)(=O)NC1=O","ZINC000950757349",18,18
"CO[C@H]1CS(=O)(=O)C[C@H]1N","ZINC000096032157",21,21
"CO[C@H]1CS(=O)(=O)C[C@@H]1N","ZINC000096032156",21,21
"NCc1nc(N)n[nH]1","ZINC000005561246",15,15
"Nc1nc(=O)c(C[NH3+])n[nH]1","ZINC000077028820",17,17
"NN1CCN(CCO)CC1","ZINC000019166970",25,25
"NNc1nc(N)cc(=O)[nH]1","ZINC000036644131",17,17
"NNc1nc2[nH]ncc2c(=O)[nH]1","ZINC000036632801",18,19
"NNc1n[nH]c(=S)n1N","ZINC000012958520",15,15
"[NH3+][C@@H](Cc1nc[nH]n1)C(O)=O","ZINC000006119233",19,19
"[NH3+][C@@H](Cc1ncn[nH]1)C(O)=O","ZINC000006119233",19,19
"N[C@@H]1CC[NH2+][C@@H]1C(O)=O","ZINC000022923607",19,19
"N[C@@H]1C[NH2+][C@@H](C1)C(O)=O","ZINC000095093504",19,19
"N[C@@H]1C[NH2+][C@H](C1)C(O)=O","ZINC000095093508",19,19
"N[C@H]1CS(=O)(=O)C[C@H]1N","ZINC000023224603",19,19
"N[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O","ZINC000012953603",21,21
"[NH3+][C@]1(C[NH2+][C@H](C1)C(O)=O)C(O)=O","ZINC000032628523",22,22
"[NH3+][C@H](Cc1nc[nH]n1)C(O)=O","ZINC000006119235",19,19
"[NH3+][C@H](Cc1ncn[nH]1)C(O)=O","ZINC000006119235",19,19
"CC(=O)NCCN[C@@H]1CC(=O)NC1=O","ZINC000036853681",27,27
"CC(=O)NCSC[C@H](N)C(N)=O","ZINC000031829397",25,24
"N[C@H]1C[NH2+][C@@H](C1)C(O)=O","ZINC000095831405",19,19
"N[C@H]1CNC1=O","ZINC000039373031",12,12
"OCc1nnc(CO)[nH]1","ZINC000001509969",16,16
"CS(=O)(=O)CC[C@H](N)C(N)=O","ZINC000019436462",23,22
"CS(=O)(=O)CC[C@@H](N)C(N)=O","ZINC000019436460",23,22
"CS(=O)(=O)NCc1nn[nH]n1","ZINC000044930779",18,18
"CS(=O)(=O)NCc1nnc[nH]1","ZINC000037921310",19,19
"CC(C)C[C@H](NC(=O)CN)C(N)=O","ZINC000001691327",30,29
"CS(=O)(=O)c1n[nH]c(N)n1","ZINC000008238045",16,16
"Nc1n[nH]c(=S)n(N)c1=O","ZINC000004115079",15,15
"Nc1nc(N)c2n[nH]nc2n1","ZINC000001666567",16,17
"Nc1nc2NCC(=O)Nc2c(=O)[nH]1","ZINC000013549045",20,21
"Nc1nc(n[nH]1)S(=O)(=O)CCO","ZINC000085343336",20,20
"Nc1nonc1-c1nn[nH]n1","ZINC000012428226",14,15
"Nn1c(CO)n[nH]c1=S","ZINC000005454352",15,15
"OCC(=O)N1CCNCC1","ZINC000034978177",22,22
"CCOC(=O)C(=O)N1CCNCC1","ZINC000042420199",27,27
"OCCN[C@@H]1CS(=O)(=O)C[C@H]1O","ZINC000003865632",25,25
"OCCN[C@@H]1CS(=O)(=O)C[C@@H]1O","ZINC000003865633",25,25
"O=C(Cn1cnnn1)N1CCNCC1","ZINC000013013675",26,27
"O=C(NC1CC1)C(=O)N1CCNCC1","ZINC000019977647",29,30
"COC(=O)[C@@H]1CS(=O)(=O)C[C@H]1N","ZINC000238342626",23,23
"CC[NH2+][C@H]1C(=O)NC(=O)N=C1O","ZINC000004532223",21,21
"CC(C)C[C@@H](NC(=O)CN)C(N)=O","ZINC000004760112",30,29
"OC(=O)CC[N@@H+]1CCNC(=O)C1","ZINC000020000883",24,24
"OC(=O)CC[N@H+]1CCNC(=O)C1","ZINC000020000883",24,24
"OCC[NH+]1CCN(CC(O)=O)CC1","ZINC000019735198",29,29
"OC(=O)C[NH+]1CCNCC1","ZINC000019735199",22,22
